protocol,candidate_id,model_name,model_type,stage,metric,mean,std,ci95_low,ci95_high
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),test,AUROC,0.9224927536231884,0.0121697715522737,0.9073819864203658,0.9376035208260112
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),test,AUPRC,0.7524613741723921,0.0236618775931818,0.7230812726350339,0.7818414757097504
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),test,Accuracy,0.9081632653061223,0.0190900887080303,0.8844597894348448,0.9318667411774
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),test,F1,0.7877287582903011,0.0489511852274593,0.7269478339239608,0.8485096826566414
scaffold,svm__ecfp_1024_rdkit2d_normalized_200,SVM (RBF),ECFP4 (1024-bit) + RDKit2D (200-d),test,MCC,0.7337859191855857,0.0580322164309445,0.6617294053073128,0.8058424330638585
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),valid,AUROC,0.8501361655773421,0.0559067928764671,0.7807187136075979,0.9195536175470862
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),valid,AUPRC,0.6839955216328101,0.0864420227565364,0.5766635740441081,0.7913274692215121
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),valid,Accuracy,0.8280945043656909,0.0276012584316047,0.7938230154660492,0.8623659932653326
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),valid,F1,0.5551084048086047,0.0902757388587056,0.4430162699565051,0.6672005396607043
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),valid,MCC,0.4760087693026505,0.086582568774594,0.3685023107832356,0.5835152278220656
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),test,AUROC,0.916927536231884,0.0113555140818463,0.9028278032153596,0.9310272692484086
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),test,AUPRC,0.760184056586802,0.0269232898522417,0.7267543768640686,0.7936137363095354
scaffold,svm__ecfp_1024,SVM (RBF),ECFP4 (1024-bit),test,Accuracy,0.9102040816326532,0.0196279429200728,0.8858327715500002,0.934575391715306
