zinc_id,smiles
ZINC001231719096,CCOC(=O)COc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1OC
ZINC001232718501,Cn1c(=O)n(C2CCN(Cc3ccc(O)cc3I)CC2)c2ccccc21
ZINC001232870512,Cn1c(=O)n(C2CCN(Cc3ccc(O)c(I)c3)CC2)c2ccccc21
ZINC001233086190,COCCOc1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1OCCOC
ZINC001236948155,Cn1c(=O)n(C2CCN(Cc3ccc(S(C)(=O)=O)c(Br)c3)CC2)c2ccccc21
ZINC001237963773,Cn1c(=O)n(C2CCN(Cc3cc(O)ccc3I)CC2)c2ccccc21
ZINC001295212847,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccc(S(=O)(=O)C(F)F)cc2)cc1
ZINC001630882728,COc1ccc([C@@H](CN2CCCC2)NC(=O)Cc2ccccc2S(=O)(=O)C(F)F)cc1
ZINC000179624058,COc1cc(O)c(CN2CCC(n3c(=O)[nH]c4ccccc43)CC2)cc1OC
ZINC001141028484,COc1cc(O)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(OC)c1
ZINC001204345795,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc(O)c1O
ZINC001231452256,Cn1c(=O)n(C2CCN(Cc3ccc(C(=O)O)cc3O)CC2)c2ccccc21
ZINC001231565016,Cn1c(=O)n(C2CCN(Cc3cc(C(=O)O)ccc3O)CC2)c2ccccc21
ZINC001231636391,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(O)cc1O
ZINC001232839465,CN(C)c1ccc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(O)c1
ZINC001236751520,COc1cc(O)c(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)cc1OC
ZINC001237675673,COc1cc(CN2CCC(n3c(=O)n(C)c4ccccc43)CC2)c(O)c(OC)c1
ZINC000891837703,COc1cc([N+](=O)[O-])cnc1NCCN1CCCCC1
ZINC000166719827,O=C(O)c1ccc([N+](=O)[O-])c(NCCN2CCCCC2)n1
ZINC000080250155,COC1CCN(CCNc2ncccc2[N+](=O)[O-])CC1
ZINC000894406394,COc1cc([N+](=O)[O-])cnc1N(C)CCN1CCCCC1
ZINC000295936725,Cc1cnc(NCCN2CCC(O)CC2)c([N+](=O)[O-])c1
ZINC000296008894,Cc1cc(NCCN2CCC(O)CC2)ncc1[N+](=O)[O-]
ZINC000296155301,Cc1ccnc(NCCN2CCC(O)CC2)c1[N+](=O)[O-]
ZINC000296155917,Cc1cc([N+](=O)[O-])cnc1NCCN1CCC(O)CC1
ZINC000296167318,Cc1nc(NCCN2CCC(O)CC2)ccc1[N+](=O)[O-]
ZINC000296169176,Cc1ccc([N+](=O)[O-])c(NCCN2CCC(O)CC2)n1
ZINC000080250554,COC1CCN(CCNc2nccc(C)c2[N+](=O)[O-])CC1
ZINC000080250369,COC1CCN(CCNc2cc(C)c([N+](=O)[O-])cn2)CC1
ZINC000080249994,COC1CCN(CCNc2ccc([N+](=O)[O-])cn2)CC1
ZINC000080250446,COC1CCN(CCNc2ncc(C)cc2[N+](=O)[O-])CC1
ZINC000080249732,COC1CCN(CCNc2ncc([N+](=O)[O-])cc2C)CC1
ZINC000129082687,COC1CCN(CCNc2nc(C)ccc2[N+](=O)[O-])CC1
ZINC000570180862,O=[N+]([O-])c1cnc(N[C@@H](CO)CN2CCCCC2)c(F)c1
ZINC000590572000,C[C@H]1CCCN(CCNc2ccc(N)c([N+](=O)[O-])n2)C1
ZINC000590572004,C[C@@H]1CCCN(CCNc2ccc(N)c([N+](=O)[O-])n2)C1
